,rank_id,team,team_abbr,rank,points
0,id12350,Belgium,BEL,1,1733
1,id12350,France,FRA,2,1732
2,id12350,Brazil,BRA,3,1669
3,id12350,Croatia,CRO,4,1635
4,id12350,England,ENG,5,1619
5,id12350,Uruguay,URU,6,1617
6,id12350,Portugal,POR,7,1616
7,id12350,Switzerland,SUI,8,1598
8,id12350,Spain,ESP,9,1594
9,id12350,Denmark,DEN,10,1584
10,id12350,Colombia,COL,11,1575
11,id12350,Argentina,ARG,12,1573
12,id12350,Chile,CHI,13,1568
13,id12350,Germany,GER,14,1555
14,id12350,Netherlands,NED,15,1550
15,id12350,Mexico,MEX,16,1549
16,id12350,Sweden,SWE,17,1548
17,id12350,Wales,WAL,18,1538
18,id12350,Italy,ITA,19,1533
19,id12350,Peru,PER,20,1530
20,id12350,Tunisia,TUN,22,1515
21,id12350,Poland,POL,21,1523
22,id12350,USA,USA,23,1506
23,id12350,Austria,AUT,24,1502
24,id12350,Senegal,SEN,25,1501
25,id12350,Romania,ROU,26,1491
26,id12350,Ukraine,UKR,27,1490
27,id12350,Slovakia,SVK,28,1483
28,id12350,Venezuela,VEN,29,1479
29,id12350,IR Iran,IRN,30,1478
30,id12350,Paraguay,PAR,31,1477
31,id12350,Bosnia and Herzegovina,BIH,32,1476
32,id12350,Republic of Ireland,IRL,33,1473
33,id12350,Northern Ireland,NIR,34,1472
34,id12350,Serbia,SRB,35,1471
35,id12350,Iceland,ISL,36,1458
36,id12350,Costa Rica,CRC,37,1452
37,id12350,Turkey,TUR,38,1449
38,id12350,Montenegro,MNE,39,1440
39,id12350,Scotland,SCO,40,1435
40,id12350,Russia,RUS,41,1433
41,id12350,Australia,AUS,42,1432
42,id12350,Greece,GRE,42,1432
43,id12350,Nigeria,NGA,44,1431
44,id12350,Bulgaria,BUL,45,1428
45,id12350,Congo DR,COD,46,1423
46,id12350,Morocco,MAR,47,1422
47,id12350,Czech Republic,CZE,48,1420
48,id12350,Norway,NOR,48,1420
49,id12350,Japan,JPN,50,1409
50,id12350,Cameroon,CMR,51,1408
51,id12350,Ghana,GHA,52,1407
52,id12350,Korea Republic,KOR,53,1401
