ovr,acceleration,long_passing,shot_power,weight,reactions,club,volleys,ball_control,height,team_uid,team_id,jumping,player_id,agility,long_shots,short_passing,wage,strength,name,sprint_speed,age,club_id,curve,value,stamina,fk_accuracy,potential,heading_accuracy,crossing,position,finishing,balance,starting,dribbling
71,32,21,22,84,64,Saudi Arabia,12,17,184,111114-18-158904,111114,64,197496,49,19,22,19K,68,yasser-al-mosailem,46,33,111114,20,1.2M,37,14,71,13,18,DEF,14,55,true,16
70,78,66,63,58,65,Saudi Arabia,43,68,173,111114-18-158904,111114,80,221370,63,50,66,20K,61,mohammed-al-buraik,87,24,111114,65,2M,77,67,75,51,73,DEF,58,78,true,63
75,73,57,65,85,71,Saudi Arabia,48,53,189,111114-18-158904,111114,78,191256,65,48,68,33K,90,osama-hawsawi,69,33,111114,50,2.7M,78,42,75,73,44,DEF,57,69,true,54
74,72,48,40,72,71,Saudi Arabia,21,48,181,111114-18-158904,111114,79,208914,71,32,68,33K,86,omar-ibrahim-othman,72,31,111114,30,3.8M,73,26,74,72,26,DEF,20,53,true,41
74,90,69,68,61,72,Saudi Arabia,55,72,170,111114-18-158904,111114,59,210603,81,66,75,32K,54,yasser-al-shahrani,85,25,111114,68,6M,79,65,79,53,69,DEF,48,77,true,69
71,69,66,68,62,68,Saudi Arabia,36,65,176,111114-18-158904,111114,81,191843,67,48,68,24K,76,abdulmalek-al-khaibari,73,31,111114,35,1.6M,76,37,71,69,40,MID,37,63,true,53
75,67,75,74,69,74,Saudi Arabia,77,75,175,111114-18-158904,111114,69,191269,89,67,78,36K,75,salman-al-faraj,72,27,111114,71,7M,67,66,75,59,69,MID,65,71,true,71
70,74,68,69,63,67,Saudi Arabia,59,71,161,111114-18-158904,111114,41,209281,82,66,73,26K,53,yahia-sulaiman-al-shehri,75,27,111114,73,1.9M,73,63,70,46,69,MID,59,73,true,71
74,86,60,74,65,65,Saudi Arabia,69,71,170,111114-18-158904,111114,49,210602,83,65,68,35K,68,salem-al-dawsari,85,25,111114,69,6M,83,60,74,56,64,MID,68,75,true,80
74,75,72,66,67,72,Saudi Arabia,61,75,168,111114-18-158904,111114,67,168883,70,70,75,33K,73,taiseer-al-jassam,67,32,111114,70,3.2M,76,74,74,70,61,MID,69,74,true,68
73,74,47,69,72,77,Saudi Arabia,75,69,180,111114-18-158904,111114,75,208916,70,67,68,39K,75,mohammed-al-sahlawi,67,30,111114,64,3.9M,78,53,73,69,58,ATT,79,68,true,70
70,32,21,22,82,64,Saudi Arabia,12,17,184,111114-18-159068,111114,64,197496,49,19,22,19K,68,yasser-al-mosailem,46,33,111114,20,900K,37,14,70,13,18,DEF,14,55,true,16
74,90,69,68,62,72,Saudi Arabia,55,72,171,111114-18-159068,111114,59,210603,81,66,75,32K,54,yasser-al-shahrani,85,25,111114,68,5.5M,79,65,76,53,69,DEF,48,77,true,69
75,73,57,65,78,73,Saudi Arabia,48,53,185,111114-18-159068,111114,78,191256,65,48,68,33K,90,osama-hawsawi,71,33,111114,50,2.7M,79,42,75,73,44,DEF,57,69,true,54
