,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_url,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_url
0,2010-05-26 00:00:00.000000,Hungary,Italy,6,1,Friendly,Budapest,Hungary,0,57,565,5,1184,52,-619,W,0,1,0,72,72,75,67,1886,/team/1886/hungary/fifa11_7/,82,79,81,79,1343,/team/1343/italy/fifa11_7/
1,2010-05-27 00:00:00.000000,Argentina,Chile,3,1,Friendly,Buenos Aires,Argentina,0,7,1076,18,888,-11,188,W,0,1,0,83,85,81,80,1369,/team/1369/argentina/fifa11_7/,77,82,79,71,111459,/team/111459/chile/fifa12_8/
2,2010-05-29 00:00:00.000000,Chile,Uruguay,0,3,Friendly,Buenos Aires,Argentina,1,18,888,16,899,2,-11,L,2,0,0,77,82,79,71,111459,/team/111459/chile/fifa12_8/,78,83,74,79,1377,/team/1377/uruguay/fifa11_7/
3,2010-06-05 00:00:00.000000,Argentina,Chile,5,1,Friendly,Buenos Aires,Argentina,0,7,1076,18,888,-11,188,W,0,1,0,83,85,81,80,1369,/team/1369/argentina/fifa11_7/,77,82,79,71,111459,/team/111459/chile/fifa12_8/
4,2010-06-12 00:00:00.000000,Argentina,Uruguay,4,1,Friendly,Buenos Aires,Argentina,0,7,1076,16,899,-9,177,W,0,1,0,83,85,81,80,1369,/team/1369/argentina/fifa11_7/,78,83,74,79,1377,/team/1377/uruguay/fifa11_7/
5,2010-08-15 00:00:00.000000,Uruguay,Argentina,3,1,Copa Lipton,Montevideo,Uruguay,0,6,1152,5,1288,1,-136,W,0,1,0,78,83,74,79,1377,/team/1377/uruguay/fifa11_7/,83,85,81,80,1369,/team/1369/argentina/fifa11_7/
6,2010-09-11 00:00:00.000000,Chile,Argentina,0,3,Friendly,Viña del Mar,Chile,0,10,988,5,1288,5,-300,L,2,1,0,77,82,79,71,111459,/team/111459/chile/fifa12_8/,83,87,82,79,1369,/team/1369/argentina/fifa12_8/
7,2010-09-11 00:00:00.000000,Norway,Sweden,0,4,Friendly,Kristiania,Norway,0,22,878,35,747,-13,131,L,2,1,0,75,78,73,75,1352,/team/1352/norway/fifa12_8/,76,88,76,73,1363,/team/1363/sweden/fifa12_8/
8,2010-10-16 00:00:00.000000,Germany,Netherlands,1,2,Friendly,Kleve,Germany,0,4,1464,2,1659,2,-195,L,2,1,0,83,86,84,82,1337,/team/1337/germany/fifa12_8/,81,86,85,76,105035,/team/105035/netherlands/fifa12_8/
9,2010-11-06 00:00:00.000000,Hungary,Austria,3,0,Friendly,Budapest,Hungary,0,62,534,60,536,2,-2,W,0,1,0,71,70,74,68,1886,/team/1886/hungary/fifa12_8/,73,75,69,74,1322,/team/1322/austria/fifa12_8/
10,2010-11-13 00:00:00.000000,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,0,5,1288,6,1152,-1,136,D,1,1,0,83,87,82,79,1369,/team/1369/argentina/fifa12_8/,79,84,75,77,1377,/team/1377/uruguay/fifa12_8/
11,2010-11-27 00:00:00.000000,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Buenos Aires,Argentina,0,5,1353,7,1174,-2,179,L,2,1,0,83,87,82,79,1369,/team/1369/argentina/fifa12_8/,79,84,75,77,1377,/team/1377/uruguay/fifa12_8/
12,2011-01-01 00:00:00.000000,France,Hungary,0,3,Friendly,Maisons-Alfort,France,0,21,852,43,615,-22,237,L,2,1,0,83,84,83,81,1335,/team/1335/france/fifa12_8/,71,70,74,68,1886,/team/1886/hungary/fifa12_8/
13,2011-01-06 00:00:00.000000,Italy,Hungary,0,1,Friendly,Milan,Italy,0,14,995,43,615,-29,380,L,2,1,0,82,84,82,81,1343,/team/1343/italy/fifa12_8/,71,70,74,68,1886,/team/1886/hungary/fifa12_8/
14,2011-01-08 00:00:00.000000,Switzerland,Hungary,2,0,Friendly,Zürich,Switzerland,0,21,852,43,615,-22,237,W,0,1,0,76,73,77,76,1364,/team/1364/switzerland/fifa12_8/,71,70,74,68,1886,/team/1886/hungary/fifa12_8/
15,2011-01-28 00:00:00.000000,Northern Ireland,Wales,1,2,British Championship,Belfast,Ireland,0,43,615,113,261,-70,354,L,2,0,0,71,71,69,72,110081,/team/110081/northern-ireland/fifa12_8/,73,75,75,72,1367,/team/1367/wales/fifa14_12/
16,2011-02-11 00:00:00.000000,England,Northern Ireland,2,1,British Championship,Derby,England,0,6,1195,43,615,-37,580,W,0,1,0,84,85,83,84,1318,/team/1318/england/fifa12_8/,71,71,69,72,110081,/team/110081/northern-ireland/fifa12_8/
17,2011-03-06 00:00:00.000000,Wales,Scotland,2,2,British Championship,Cardiff,Wales,0,113,261,52,542,61,-281,D,1,1,0,73,75,75,72,1367,/team/1367/wales/fifa14_12/,75,74,76,72,1359,/team/1359/scotland/fifa12_8/
18,2011-03-13 00:00:00.000000,England,Wales,3,0,British Championship,London,England,0,6,1195,113,261,-107,934,W,0,1,0,84,85,83,84,1318,/team/1318/england/fifa12_8/,73,75,75,72,1367,/team/1367/wales/fifa14_12/
19,2011-03-18 00:00:00.000000,Scotland,Northern Ireland,2,0,British Championship,Glasgow,Scotland,0,52,542,43,615,9,-73,W,0,1,0,75,74,76,72,1359,/team/1359/scotland/fifa12_8/,71,71,69,72,110081,/team/110081/northern-ireland/fifa12_8/
20,2011-03-19 00:00:00.000000,Belgium,Netherlands,1,5,Friendly,Antwerp,Belgium,0,58,526,2,1723,56,-1197,L,2,1,0,78,80,77,79,1325,/team/1325/belgium/fifa12_8/,81,86,85,76,105035,/team/105035/netherlands/fifa12_8/
21,2011-03-26 00:00:00.000000,Germany,Switzerland,6,2,Friendly,Stuttgart,Germany,0,3,1485,22,841,-19,644,W,0,1,0,83,86,84,82,1337,/team/1337/germany/fifa12_8/,76,73,77,76,1364,/team/1364/switzerland/fifa12_8/
22,2011-04-01 00:00:00.000000,England,Scotland,1,1,British Championship,Liverpool,England,0,6,1195,52,542,-46,653,D,1,1,0,84,85,83,84,1318,/team/1318/england/fifa12_8/,75,74,76,72,1359,/team/1359/scotland/fifa12_8/
23,2011-04-02 00:00:00.000000,Netherlands,Belgium,3,1,Friendly,Dordrecht,Netherlands,0,2,1723,58,526,-56,1197,W,0,1,0,81,86,85,76,105035,/team/105035/netherlands/fifa12_8/,78,80,77,79,1325,/team/1325/belgium/fifa12_8/
24,2011-04-09 00:00:00.000000,France,Italy,2,2,Friendly,Saint-Ouen,France,0,18,867,14,965,4,-98,D,1,1,0,83,84,83,81,1335,/team/1335/france/fifa12_8/,82,84,82,81,1343,/team/1343/italy/fifa12_8/
25,2011-04-23 00:00:00.000000,Belgium,Germany,2,1,Friendly,Liège,Belgium,0,58,526,3,1485,55,-959,W,0,1,0,78,80,77,79,1325,/team/1325/belgium/fifa12_8/,83,86,84,82,1337,/team/1337/germany/fifa12_8/
26,2011-04-23 00:00:00.000000,Switzerland,France,5,2,Friendly,Geneva,Switzerland,0,22,841,18,867,4,-26,W,0,1,0,76,73,77,76,1364,/team/1364/switzerland/fifa12_8/,83,84,83,81,1335,/team/1335/france/fifa12_8/
27,2011-04-30 00:00:00.000000,Belgium,France,7,1,Friendly,Uccle,Belgium,0,58,526,18,867,40,-341,W,0,1,0,78,80,77,79,1325,/team/1325/belgium/fifa12_8/,83,84,83,81,1335,/team/1335/france/fifa12_8/
28,2011-05-07 00:00:00.000000,Austria,Hungary,3,1,Friendly,Vienna,Austria,0,46,569,41,632,5,-63,W,0,1,0,73,75,69,74,1322,/team/1322/austria/fifa12_8/,71,70,74,68,1886,/team/1886/hungary/fifa12_8/
29,2011-05-07 00:00:00.000000,Italy,Switzerland,2,2,Friendly,Milan,Italy,0,14,965,22,841,-8,124,D,1,1,0,82,84,82,81,1343,/team/1343/italy/fifa12_8/,76,73,77,76,1364,/team/1364/switzerland/fifa12_8/
30,2011-05-21 00:00:00.000000,Switzerland,Italy,3,0,Friendly,La Chaux-de-Fonds,Switzerland,0,25,819,9,1019,16,-200,W,0,1,0,76,73,77,76,1364,/team/1364/switzerland/fifa12_8/,82,84,82,81,1343,/team/1343/italy/fifa12_8/
31,2011-06-18 00:00:00.000000,Sweden,Germany,2,4,Friendly,Solna,Sweden,0,28,802,4,1413,24,-611,L,2,1,0,76,88,76,73,1363,/team/1363/sweden/fifa12_8/,83,86,84,82,1337,/team/1337/germany/fifa12_8/
32,2011-08-15 00:00:00.000000,Argentina,Uruguay,0,2,Copa Lipton,Buenos Aires,Argentina,0,5,1267,7,1094,-2,173,L,2,1,0,83,87,82,79,1369,/team/1369/argentina/fifa12_8/,79,84,75,77,1377,/team/1377/uruguay/fifa12_8/
33,2011-09-17 00:00:00.000000,Sweden,Norway,4,1,Friendly,Solna,Sweden,0,18,889,12,943,6,-54,W,0,1,0,76,83,76,73,1363,/team/1363/sweden/fifa12_9/,74,75,74,74,1352,/team/1352/norway/fifa12_9/
34,2011-09-17 00:00:00.000000,Uruguay,Argentina,2,3,Copa Newton,Montevideo,Uruguay,0,5,1174,9,1017,-4,157,L,2,1,0,79,84,76,77,1377,/team/1377/uruguay/fifa12_9/,82,89,80,76,1369,/team/1369/argentina/fifa12_9/
35,2011-10-08 00:00:00.000000,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,0,4,1184,10,1024,-6,160,D,1,1,0,79,84,76,77,1377,/team/1377/uruguay/fifa12_9/,82,89,80,76,1369,/team/1369/argentina/fifa12_9/
36,2011-10-09 00:00:00.000000,Germany,Austria,1,2,Friendly,Dresden,Germany,0,3,1290,77,442,-74,848,L,2,1,0,83,83,84,81,1337,/team/1337/germany/fifa12_9/,73,75,74,73,1322,/team/1322/austria/fifa12_9/
37,2011-10-22 00:00:00.000000,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,0,10,1030,4,1230,6,-200,W,0,1,0,82,89,80,76,1369,/team/1369/argentina/fifa12_9/,79,84,76,77,1377,/team/1377/uruguay/fifa12_9/
38,2011-10-22 00:00:00.000000,Finland,Sweden,2,5,Friendly,Helsinki,Finland,0,78,438,14,955,64,-517,L,2,1,0,70,68,71,70,1334,/team/1334/finland/fifa12_9/,76,83,76,73,1363,/team/1363/sweden/fifa12_9/
39,2011-10-29 00:00:00.000000,Germany,Sweden,1,3,Friendly,Hamburg,Germany,0,3,1352,14,955,-11,397,L,2,1,0,83,83,84,81,1337,/team/1337/germany/fifa12_9/,76,83,76,73,1363,/team/1363/sweden/fifa12_9/
40,2011-10-29 00:00:00.000000,Hungary,Switzerland,9,0,Friendly,Budapest,Hungary,0,36,701,18,920,18,-219,W,0,1,0,71,73,72,69,1886,/team/1886/hungary/fifa12_9/,76,79,74,76,1364,/team/1364/switzerland/fifa12_9/
41,2011-10-29 00:00:00.000000,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,0,4,1230,10,1030,-6,200,W,0,1,0,79,84,76,77,1377,/team/1377/uruguay/fifa12_9/,82,89,80,76,1369,/team/1369/argentina/fifa12_9/
42,2011-11-05 00:00:00.000000,Hungary,Austria,2,0,Friendly,Budapest,Hungary,0,36,701,72,458,-36,243,W,0,1,0,71,73,72,69,1886,/team/1886/hungary/fifa12_9/,73,75,74,73,1322,/team/1322/austria/fifa12_9/
43,2011-12-17 00:00:00.000000,Germany,Hungary,1,4,Friendly,Munich,Germany,0,3,1345,37,665,-34,680,L,2,1,0,83,83,84,81,1337,/team/1337/germany/fifa12_9/,71,73,72,69,1886,/team/1886/hungary/fifa12_9/
44,2012-01-28 00:00:00.000000,France,Belgium,1,1,Friendly,Saint-Ouen,France,0,15,915,40,647,-25,268,D,1,1,0,83,86,82,81,1335,/team/1335/france/fifa12_9/,78,80,78,80,1325,/team/1325/belgium/fifa12_9/
45,2012-02-10 00:00:00.000000,Northern Ireland,England,1,6,British Championship,Dublin,Ireland,0,87,403,5,1173,82,-770,L,2,0,0,71,72,69,70,110081,/team/110081/northern-ireland/fifa12_9/,82,82,84,82,1318,/team/1318/england/fifa12_9/
46,2012-02-18 00:00:00.000000,France,Switzerland,4,1,Friendly,Saint-Ouen,France,0,17,930,16,950,1,-20,W,0,1,0,82,84,81,81,1335,/team/1335/france/fifa13_11/,77,78,77,76,1364,/team/1364/switzerland/fifa13_11/
47,2012-02-20 00:00:00.000000,Belgium,Switzerland,9,2,Friendly,Antwerp,Belgium,0,39,663,16,950,23,-287,W,0,1,0,80,79,79,79,1325,/team/1325/belgium/fifa13_11/,77,78,77,76,1364,/team/1364/switzerland/fifa13_11/
48,2012-03-02 00:00:00.000000,Scotland,Wales,1,0,British Championship,Edinburgh,Scotland,0,48,602,42,635,6,-33,W,0,1,0,74,73,73,73,1359,/team/1359/scotland/fifa13_11/,73,75,75,72,1367,/team/1367/wales/fifa14_12/
49,2012-03-10 00:00:00.000000,Belgium,Netherlands,1,2,Friendly,Antwerp,Belgium,0,40,642,2,1379,38,-737,L,2,1,0,80,79,79,79,1325,/team/1325/belgium/fifa13_11/,81,84,81,74,105035,/team/105035/netherlands/fifa13_11/
50,2012-03-11 00:00:00.000000,Wales,England,0,2,British Championship,Wrexham,Wales,0,48,580,6,1121,42,-541,L,2,1,0,73,75,75,72,1367,/team/1367/wales/fifa14_12/,82,82,81,81,1318,/team/1318/england/fifa13_11/
51,2012-03-16 00:00:00.000000,Northern Ireland,Scotland,1,4,British Championship,Belfast,Ireland,0,87,400,51,574,36,-174,L,2,0,0,70,68,68,70,110081,/team/110081/northern-ireland/fifa13_11/,74,73,73,73,1359,/team/1359/scotland/fifa13_11/
52,2012-03-17 00:00:00.000000,Italy,France,3,4,Friendly,Turin,Italy,0,9,1062,16,938,-7,124,L,2,1,0,83,83,82,82,1343,/team/1343/italy/fifa13_11/,82,84,81,81,1335,/team/1335/france/fifa13_11/
53,2012-03-23 00:00:00.000000,Scotland,England,1,1,British Championship,Glasgow,Scotland,0,51,574,6,1121,45,-547,D,1,1,0,74,73,73,73,1359,/team/1359/scotland/fifa13_11/,82,82,81,81,1318,/team/1318/england/fifa13_11/
54,2012-03-24 00:00:00.000000,Netherlands,Germany,5,5,Friendly,Zwolle,Netherlands,0,2,1379,3,1332,-1,47,D,1,1,0,81,84,81,74,105035,/team/105035/netherlands/fifa13_11/,84,84,83,82,1337,/team/1337/germany/fifa13_11/
55,2012-04-13 00:00:00.000000,Wales,Northern Ireland,2,3,British Championship,Cardiff,Wales,0,41,635,100,338,-59,297,L,2,1,0,73,75,75,72,1367,/team/1367/wales/fifa14_12/,70,68,68,70,110081,/team/110081/northern-ireland/fifa13_11/
56,2012-04-14 00:00:00.000000,Hungary,Germany,4,4,Friendly,Budapest,Hungary,0,36,692,2,1345,34,-653,D,1,1,0,71,71,70,69,1886,/team/1886/hungary/fifa13_11/,84,84,83,82,1337,/team/1337/germany/fifa13_11/
