,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_uid,home_team_international_prestige,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_uid,away_team_international_prestige,ATT_diff,DEF_diff,MID_diff,Friendly,team_uid_x,home_ATT_age,home_DEF_age,home_MID_age,home_ATT_ht,home_DEF_ht,home_MID_ht,home_ATT_wt,home_DEF_wt,home_MID_wt,team_uid_y,away_ATT_age,away_DEF_age,away_MID_age,away_ATT_ht,away_DEF_ht,away_MID_ht,away_ATT_wt,away_DEF_wt,away_MID_wt,ATT_age_diff,DEF_age_diff,MID_age_diff,ATT_ht_diff,DEF_ht_diff,MID_ht_diff,ATT_wt_diff,DEF_wt_diff,MID_wt_diff,home_hrva_rwma,home_hrvap_rwma,home_hrva_rmean,home_hrvap_rmean
0,2010-05-26,France,Costa Rica,2,1,Friendly,Lens,France,0,9,1044,40,710,-31,334,W,0,1,0,82,80,82,81,1335,1335-11-156279,19,73,69,73,73,1383,1383-08-155359,3,7,12,9,1,1335-11-156279,22.0,25.2,26.0,182.0,183.2,182.0,74.0,78.8,75.4,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,-7.833333333333332,-2.8000000000000007,-0.75,2.0,4.199999999999989,0.0,-2.3333333333333286,8.799999999999997,-2.3499999999999943,0.4574787956542922,0.4610461968635438,0.5131578947368421,0.506578947368421
1,2010-05-26,Netherlands,Mexico,2,1,Friendly,Freiburg,Germany,1,4,1231,17,895,-13,336,W,0,0,0,81,80,81,76,105035,105035-11-156279,17,77,74,75,73,1386,1386-11-156279,15,7,2,6,1,105035-11-156279,27.5,25.2,27.5,185.0,180.6,177.75,75.0,74.2,74.5,1386-11-156279,21.75,26.0,28.0,173.25,183.0,178.0,63.5,78.5,72.0,1.5,3.4499999999999997,-0.5,2.0,7.349999999999994,-0.25,-3.5,10.700000000000003,2.5,0.6248155591534955,0.5928723429889126,0.5507246376811594,0.5
2,2010-05-26,Northern Ireland,Turkey,0,2,Friendly,New Britain,USA,1,56,566,29,830,27,-264,L,2,0,0,71,65,67,69,110081,110081-11-156279,5,78,77,75,74,1365,1365-11-156279,14,-9,-8,-8,1,110081-11-156279,25.66666666666667,29.4,27.0,184.66666666666663,185.2,177.0,70.0,77.8,71.66666666666667,1365-11-156279,25.33333333333333,27.4,26.66666666666667,177.33333333333337,186.6,180.0,76.0,82.0,79.66666666666667,-1.7333333333333307,4.066666666666666,0.3333333333333321,-1.933333333333337,7.866666666666646,-3.0,-12.0,1.7999999999999972,-8.0,-0.03442898699949568,-0.050078449746322355,-0.16,-0.16
3,2010-05-27,Denmark,Senegal,2,0,Friendly,Aalborg,Denmark,0,36,767,75,422,-39,345,W,0,1,0,75,73,72,72,1331,1331-11-156279,12,76,77,77,76,1667,1667-18-158904,7,-3,-5,-5,1,1331-11-156279,26.5,27.0,25.25,185.5,188.2,180.5,76.0,80.8,72.75,1667-18-158904,22.0,27.0,27.0,180.0,185.6,181.5,74.25,78.6,74.5,-0.5,5.0,-1.75,-0.09999999999999433,8.199999999999989,-1.0,-2.5999999999999943,6.549999999999998,-1.75,0.40173992104105344,0.4067039829513556,0.3384615384615385,0.36153846153846153
4,2010-05-27,South Africa,Colombia,2,1,Friendly,Johannesburg,South Africa,0,83,392,35,776,48,-384,W,0,1,0,72,69,72,66,111099,111099-11-156279,8,76,76,72,74,111109,111109-12-156644,6,-5,-10,0,1,111099-11-156279,25.0,24.25,27.2,175.0,179.25,177.6,67.5,70.75,74.4,111109-12-156644,25.0,29.75,25.25,179.66666666666663,181.5,180.75,73.66666666666667,78.5,81.0,-4.75,-0.75,1.9499999999999995,-6.5,-0.4166666666666572,-3.1500000000000057,-11.0,-2.9166666666666714,-6.599999999999994,-0.0420025075846508,-0.13623823547600458,0.16483516483516483,0.16483516483516483
5,2010-05-29,Hungary,Germany,0,3,Friendly,Budapest,Hungary,0,57,565,6,1082,51,-517,L,2,1,0,72,72,71,68,1886,1886-11-156279,7,82,81,80,79,1337,1337-11-156279,19,-7,-13,-9,1,1886-11-156279,25.5,28.4,27.75,182.5,186.6,180.5,78.5,81.6,76.75,1337-11-156279,25.66666666666667,25.4,23.0,184.0,187.4,184.66666666666663,77.0,83.2,77.33333333333333,0.10000000000000142,2.7333333333333307,4.75,-4.900000000000006,2.5999999999999943,-4.166666666666656,-4.700000000000003,4.599999999999994,-0.5833333333333286,-0.12461850537401689,-0.13928006686731773,-0.10909090909090909,-0.10909090909090909
6,2010-05-29,New Zealand,Serbia,1,0,Friendly,Klagenfurt,Austria,1,78,410,15,947,63,-537,W,0,0,0,64,62,57,60,111473,111473-11-156279,6,78,75,79,76,110082,110082-13-157186,6,-14,-15,-22,1,111473-11-156279,28.0,26.8,31.0,185.33333333333331,187.2,181.66666666666663,74.66666666666667,83.8,80.0,110082-13-157186,23.0,25.8,21.6,187.0,187.6,185.6,82.0,83.2,76.0,2.1999999999999997,3.8000000000000007,9.4,-2.2666666666666515,0.19999999999998866,-3.9333333333333367,-8.533333333333331,1.7999999999999972,4.0,0.1668414865230181,0.2149677193396141,0.3055555555555556,0.3055555555555556
7,2010-05-29,Poland,Finland,0,0,Friendly,Kielce,Poland,0,58,561,52,584,6,-23,D,1,1,0,74,71,69,69,1353,1353-11-156279,11,71,66,70,70,1334,1334-11-156279,6,1,3,-1,1,1353-11-156279,25.0,27.0,25.0,183.5,187.4,176.25,75.0,80.6,70.25,1334-11-156279,31.5,29.6,30.0,184.5,189.4,182.25,84.0,83.4,77.75,-4.600000000000001,-4.5,-5.0,-5.900000000000006,2.9000000000000057,-6.0,-8.400000000000006,-3.4000000000000057,-7.5,0.05635472334739086,0.10869877576301419,0.20967741935483872,0.24193548387096775
8,2010-05-29,Spain,Saudi Arabia,3,2,Friendly,Innsbruck,Austria,1,2,1565,66,498,-64,1067,W,0,0,0,85,82,83,83,1362,1362-11-156279,19,73,73,73,73,111114,111114-18-158904,4,9,10,10,1,1362-11-156279,27.0,28.0,26.25,180.0,183.6,177.75,73.5,81.0,71.0,111114-18-158904,30.0,29.2,28.4,180.0,179.4,170.0,72.0,72.0,65.2,-2.1999999999999997,-2.0,-2.1499999999999986,0.5999999999999943,3.5999999999999943,7.75,1.5,9.0,5.799999999999998,0.738164773085447,0.7590480760311837,0.6025641025641025,0.6153846153846154
9,2010-05-29,USA,Turkey,2,1,Friendly,Philadelphia,USA,0,14,957,29,830,-15,127,W,0,1,0,75,72,73,72,1387,1387-11-156279,12,78,77,75,74,1365,1365-11-156279,14,-2,-5,-2,1,1387-11-156279,22.0,30.2,25.25,180.5,184.2,181.75,74.5,81.6,79.0,1365-11-156279,25.33333333333333,27.4,26.66666666666667,177.33333333333337,186.6,180.0,76.0,82.0,79.66666666666667,-5.399999999999999,4.866666666666667,-1.416666666666668,-6.099999999999994,6.866666666666646,1.75,-7.5,5.599999999999994,-0.6666666666666714,0.3665781285416041,0.2442669578959191,0.38461538461538464,0.23076923076923078
